log2Enrich	feature	primary_diagnosis	cohort
660	-1.604	LINE	colon	Cancer
661	1.805	CpG-Island	colon	Cancer
662	1.519	Promoter	colon	Cancer
663	1.201	5UTR	colon	Cancer
664	2.188	Exon	colon	Cancer
665	0.676	Intron	colon	Cancer
666	1.587	TTS	colon	Cancer
667	1.303	3UTR	colon	Cancer
668	-1.189	Intergenic	colon	Cancer
669	1.024	SINE	colon	Cancer
670	-1.975	LINE	colon	Cancer
671	1.449	CpG-Island	lung	Cancer
672	1.697	Promoter	lung	Cancer
673	1.106	5UTR	lung	Cancer
674	1.97	Exon	lung	Cancer
675	0.489	Intron	lung	Cancer
676	1.279	TTS	lung	Cancer
677	1.115	3UTR	lung	Cancer
678	-1.333	Intergenic	lung	Cancer
679	1.336	SINE	lung	Cancer
680	-1.927	LINE	lung	Cancer
681	1.129	CpG-Island	lung	Cancer
682	1.418	Promoter	lung	Cancer
683	1.074	5UTR	lung	Cancer
684	1.48	Exon	lung	Cancer
685	0.348	Intron	lung	Cancer
686	0.926	TTS	lung	Cancer
687	0.7	3UTR	lung	Cancer
688	-0.947	Intergenic	lung	Cancer
689	1.26	SINE	lung	Cancer
690	-1.28	LINE	lung	Cancer
691	1.13	CpG-Island	lung	Cancer
692	1.565	Promoter	lung	Cancer
693	1.2	5UTR	lung	Cancer
694	1.648	Exon	lung	Cancer
695	0.519	Intron	lung	Cancer
696	1.129	TTS	lung	Cancer
697	0.974	3UTR	lung	Cancer
698	-0.79	Intergenic	lung	Cancer
699	1.002	SINE	lung	Cancer
700	-1.486	LINE	lung	Cancer
701	1.226	CpG-Island	lung	Cancer
702	1.562	Promoter	lung	Cancer
703	1.178	5UTR	lung	Cancer
704	1.85	Exon	lung	Cancer
705	0.407	Intron	lung	Cancer
706	1.189	TTS	lung	Cancer
707	1.024	3UTR	lung	Cancer
708	-1.295	Intergenic	lung	Cancer
709	1.426	SINE	lung	Cancer
710	-1.85	LINE	lung	Cancer
711	0.374	CpG-Island	lung	Cancer
712	1.167	Promoter	lung	Cancer
713	0.815	5UTR	lung	Cancer
714	1.562	Exon	lung	Cancer
715	0.269	Intron	lung	Cancer
716	0.865	TTS	lung	Cancer
717	0.793	3UTR	lung	Cancer
718	-1.22	Intergenic	lung	Cancer
719	1.398	SINE	lung	Cancer
720	-1.233	LINE	lung	Cancer
721	1.41	CpG-Island	lung	Cancer
722	1.701	Promoter	lung	Cancer
723	1.305	5UTR	lung	Cancer
724	1.788	Exon	lung	Cancer
725	0.438	Intron	lung	Cancer
726	1.227	TTS	lung	Cancer
727	1.047	3UTR	lung	Cancer
